"","Date_Hour","ID","temp","humidity","Latitude","Longitude","Pressure","PM1.0","PM2.5","PM10.0","PM2.5ATM","corrected_PM2.5","t1","logPM2.5"
"280943","2019-01-15 09:00:00",3334,56,62.7272727272727,37.118015,-120.74461,1009.81466666667,11.5510227272727,12.4715909090909,12.7113636363636,12.0746590909091,6.70275772727273,14.375,1.90251904279791
"281758","2019-01-15 10:00:00",3334,56.5111111111111,63.3333333333333,37.118015,-120.74461,1009.80244444444,10.1908888888889,10.7593333333333,10.9126666666667,10.6366666666667,5.89761333333333,14.4166666666667,1.77454774929747
"282566","2019-01-15 11:00:00",3334,57,62.2,37.118015,-120.74461,1008.85044444444,8.25177777777778,8.82622222222222,8.991,8.81411111111111,5.03915422222222,14.4583333333333,1.61723825494994
"283368","2019-01-15 12:00:00",3334,57,62.0666666666667,37.118015,-120.74461,1007.43222222222,8.06188888888889,8.59133333333333,8.71588888888889,8.54811111111111,4.91113022222222,14.5,1.59150410314258
"285717","2019-01-15 15:00:00",3334,60.8695652173913,58.3260869565217,37.118015,-120.74461,1005.34456521739,9.16597826086957,9.78760869565217,9.98326086956522,9.77815217391304,5.87436913043478,14.625,1.7705986722107
"286482","2019-01-15 16:00:00",3334,60.4222222222222,59.4666666666667,37.118015,-120.74461,1005.10111111111,9.09466666666667,9.54977777777778,9.72722222222222,9.54755555555556,5.65635911111111,14.6666666666667,1.73278041864223
"273617","2019-01-15 00:00:00",3329,74.7111111111111,34,37.11881,-120.74453,1009.608,1.53222222222222,2.04788888888889,2.26522222222222,2.04788888888889,3.89629377777778,14,1.36002578791124
"274441","2019-01-15 01:00:00",3329,74.1777777777778,34,37.11881,-120.74453,1009.59977777778,1.23022222222222,1.72611111111111,1.91322222222222,1.72611111111111,3.72768222222222,14.0416666666667,1.31578665236992
"275262","2019-01-15 02:00:00",3329,74.6222222222222,33.6222222222222,37.11881,-120.74453,1009.82711111111,1.00988888888889,1.44777777777778,1.58122222222222,1.44777777777778,3.61402222222222,14.0833333333333,1.28482134107814
"276077","2019-01-15 03:00:00",3329,74.4444444444444,33.7111111111111,37.11881,-120.74453,1009.53111111111,1.25277777777778,1.743,1.88188888888889,1.743,3.76114533333333,14.125,1.32472352094669
"276886","2019-01-15 04:00:00",3329,74.6,33.6222222222222,37.11881,-120.74453,1009.12266666667,1.54622222222222,1.96233333333333,2.10811111111111,1.96233333333333,3.88364933333333,14.1666666666667,1.35677526142352
"277698","2019-01-15 05:00:00",3329,74.4222222222222,33.8888888888889,37.11881,-120.74453,1008.79022222222,1.27622222222222,1.71822222222222,1.88566666666667,1.71822222222222,3.73301511111111,14.2083333333333,1.31721624790473
"278509","2019-01-15 06:00:00",3329,77.2,32.3555555555556,37.11881,-120.74453,1009.07288888889,0.719666666666667,0.968777777777778,1.07344444444444,0.968777777777778,3.47094622222222,14.25,1.24442724330593
"279322","2019-01-15 07:00:00",3329,79,31.046511627907,37.11881,-120.74453,1009.12025,0.625761627906977,0.828598837209302,0.894604651162791,0.828598837209302,3.509023,14.2916666666667,1.25533765115355
"280136","2019-01-15 08:00:00",3329,79,31.5681818181818,37.11881,-120.74453,1008.96384615385,0.684994172494172,0.888414918414918,1.00689976689977,0.888414918414918,3.49592032634033,14.3333333333333,1.25159666758518
"280942","2019-01-15 09:00:00",3329,78.9772727272727,32.2272727272727,37.11881,-120.74453,1008.98093023256,0.476413847780127,0.716434989429175,0.847021670190275,0.716434989429175,3.34964829809725,14.375,1.20885535468298
"281757","2019-01-15 10:00:00",3329,79,32.1333333333333,37.11881,-120.74453,1008.96266666667,0.376666666666667,0.725444444444444,0.847111111111111,0.725444444444444,3.36237288888889,14.4166666666667,1.2126469416525
"282565","2019-01-15 11:00:00",3329,79,32.9555555555556,37.11881,-120.74453,1007.98047619048,0.531936507936508,0.870920634920635,1.07485714285714,0.870920634920635,3.36854907936508,14.4583333333333,1.21448211140746
"283367","2019-01-15 12:00:00",3329,79,33,37.11881,-120.74453,1006.56046511628,2.09652713178295,3.13391214470284,3.61075452196382,3.13391214470284,4.55056996382429,14.5,1.5152524918922
"284163","2019-01-15 13:00:00",3329,79,33,37.11881,-120.74453,1005.22777777778,4.0302297979798,5.77598737373737,6.58276767676768,5.77598737373737,5.93501738383838,14.5416666666667,1.78086995709498
"284938","2019-01-15 14:00:00",3329,79,33.0740740740741,37.11881,-120.74453,1004.6816,6.68077777777778,9.59601481481481,10.738362962963,9.59601481481481,7.93040065185185,14.5833333333333,2.07070355793314
"287238","2019-01-15 17:00:00",3329,78.7777777777778,34,37.11881,-120.74453,1004.57823529412,8.48506535947712,12.0190032679739,13.4769934640523,12.0190032679739,9.1211577124183,14.7083333333333,2.2105967381809
"287978","2019-01-15 18:00:00",3329,78.6818181818182,33.7045454545455,37.11881,-120.74453,1005.47268292683,6.42632760532151,9.0260310421286,10.0578353658537,9.0260310421286,7.57801299334812,14.75,2.02525102720937
